base_seed,gate_seed,budget,group,count,mean_delta,median_delta,p90_delta,fraction_k2_helps
601,33,1.1,MLP only,5163,0.03936130539197551,0.0166015625,0.26953125,0.5839628123184195
601,33,1.1,margin only,5270,0.03111143564589788,0.00435638427734375,0.2852050781250002,0.5445920303605313
601,33,1.1,neither,63925,0.004568056830867548,0.00023651123046875,0.10546875,0.5188580367618303
601,33,1.2,both,6344,0.056569659243916805,0.0205078125,0.3874023437499998,0.5783417402269861
601,33,1.2,MLP only,9232,0.019006908869619386,0.0048828125,0.171875,0.5508015597920277
601,33,1.2,margin only,9148,0.017725016907098566,0.0027618408203125,0.2177734375,0.5379317883690424
601,33,1.2,neither,52076,0.002885551366198767,0.00013208389282226562,0.09375,0.514709271065366
601,33,1.3,both,10713,0.04606149693580498,0.01611328125,0.32753906250000053,0.5778026696536918
601,33,1.3,MLP only,12346,0.01182702246968294,0.0020751953125,0.130859375,0.5368540417949134
601,33,1.3,margin only,12398,0.009634550626594456,0.001064300537109375,0.1796875,0.5318599774157122
601,33,1.3,neither,41343,0.0021247547054528367,7.534027099609375e-05,0.083984375,0.509566311104661
602,11,1.1,both,2495,0.09399534160484053,0.048828125,0.5207031249999998,0.6036072144288577
602,11,1.1,MLP only,5569,0.042302343142826784,0.0147705078125,0.2841796875,0.5728137906266835
602,11,1.1,margin only,5254,0.029630512713841445,0.0022563934326171875,0.27517089843749987,0.596117244004568
602,11,1.1,neither,63482,0.003564653345228635,0.0001983642578125,0.1025390625,0.5114048076620145
602,11,1.2,both,6439,0.06873602155462373,0.02764892578125,0.4357421874999998,0.5910855722938344
602,11,1.2,MLP only,9556,0.016742602308807437,0.0042572021484375,0.16796875,0.5390330682293847
602,11,1.2,margin only,9071,0.018197635978233616,0.0010738372802734375,0.236328125,0.5701686693859552
602,11,1.2,neither,51734,0.0016317287918015905,0.0001068115234375,0.0869140625,0.5057409054007036
602,11,1.3,both,10808,0.05179495470864432,0.01953125,0.36064453125000107,0.5820688378978535
602,11,1.3,MLP only,12777,0.00843212072153443,0.0013427734375,0.12109375,0.5191359474054943
602,11,1.3,margin only,12463,0.011256554723025076,0.0007171630859375,0.203125,0.5584530209419882
602,11,1.3,neither,40752,0.0010856558025047083,1.9073486328125e-05,0.078125,0.5008097762073027
602,22,1.1,both,2520,0.10203375437903026,0.048828125,0.5323242187499999,0.6095238095238096
602,22,1.1,MLP only,5478,0.040523343470985324,0.0126953125,0.2932617187500002,0.5677254472435196
602,22,1.1,margin only,5229,0.025448848741144357,0.002105712890625,0.2667968749999998,0.5932300631095812
602,22,1.1,neither,63573,0.0037733974657503805,0.000213623046875,0.1015625,0.5119311657464647
602,22,1.2,both,6631,0.06848418078007625,0.025390625,0.431640625,0.5916151410043734
602,22,1.2,MLP only,9168,0.016437904788977605,0.002410888671875,0.17578125,0.5305410122164049
602,22,1.2,margin only,8879,0.017292870367844774,0.001094818115234375,0.234375,0.5693208694672823
602,22,1.2,neither,52122,0.0017978100201964749,0.00013113021850585938,0.0859375,0.5074824450328076
602,22,1.3,both,11226,0.050455924981676406,0.0152587890625,0.35546875,0.5813290575449849
602,22,1.3,MLP only,12214,0.00902745008117266,0.00027942657470703125,0.12890625,0.5109710168658916
602,22,1.3,margin only,12045,0.01109772504439934,0.0008096694946289062,0.1953125,0.5583229555832295
602,22,1.3,neither,41315,0.001009768278622157,6.866455078125e-05,0.076171875,0.5034733147767155
602,33,1.1,both,2379,0.09947032335176344,0.0482177734375,0.5234375,0.6145439260193358
602,33,1.1,MLP only,5431,0.035479898370227594,0.009765625,0.281494140625,0.5507273062051188
602,33,1.1,margin only,5370,0.028595380232542808,0.002105712890625,0.28125,0.5914338919925513
602,33,1.1,neither,63620,0.004231086837087401,0.000244140625,0.103515625,0.5134234517447344
602,33,1.2,both,6242,0.06745262980193749,0.0298309326171875,0.43359375,0.5927587311759052
602,33,1.2,MLP only,9026,0.015253312778451768,0.0010080337524414062,0.166015625,0.5196100155107467
602,33,1.2,margin only,9268,0.020136241209007925,0.001102447509765625,0.23828125,0.5694864048338368
602,33,1.2,neither,52264,0.002042166000300813,0.0001678466796875,0.087890625,0.5094328792285321
602,33,1.3,both,10532,0.05029532169598479,0.01822662353515625,0.3544921875,0.5787124952525636
602,33,1.3,MLP only,12039,0.006089652056947124,6.4849853515625e-05,0.11328125,0.5031148766508846
602,33,1.3,margin only,12739,0.01337467492754357,0.0008945465087890625,0.203125,0.56173953999529
602,33,1.3,neither,41490,0.001896035926949406,0.0001220703125,0.080078125,0.5057845263919016
603,11,1.1,both,2569,0.08654477708578202,0.0521240234375,0.47109375000000053,0.6414947450369793
603,11,1.1,MLP only,4991,0.04312962134790621,0.01953125,0.30859375,0.5742336205169305
603,11,1.1,margin only,5047,0.028757695469592667,0.0059814453125,0.29267578125000027,0.578561521696057
603,11,1.1,neither,64193,0.004987540834927926,0.0002193450927734375,0.109375,0.5126571433022292
603,11,1.2,both,6730,0.05769251756823966,0.033203125,0.376953125,0.6153046062407133
603,11,1.2,MLP only,8497,0.025463927503444173,0.0048828125,0.20703125,0.5432505590208309
603,11,1.2,margin only,8630,0.01752945224766383,0.0016155242919921875,0.234375,0.5466975666280417
603,11,1.2,neither,52943,0.0027762303270305703,0.0001163482666015625,0.09375,0.5074891864835767
603,11,1.3,both,11291,0.046588975749101535,0.019775390625,0.333984375,0.5972013107784961
603,11,1.3,MLP only,11470,0.015768950029155328,0.001953125,0.14393310546875004,0.5292938099389712
603,11,1.3,margin only,11827,0.010064905772520017,0.00058746337890625,0.1953125,0.5303965502663397
603,11,1.3,neither,42212,0.0018230632934526936,6.103515625e-05,0.0859375,0.5035534918980384
603,22,1.1,both,2316,0.07644269791703562,0.05303955078125,0.4595947265625,0.6360103626943006
