base_seed,gate_seed,method,fraction_k2,captured_delta_per_decision,mean_selected_delta
603,22,MLP,0.13,0.0059641430526971816,0.045878023482286014
603,22,MLP,0.14,0.0061793507759769755,0.044134115093000255
603,22,MLP,0.15,0.006356209913889567,0.042371054716319655
603,22,MLP,0.16,0.00658650500078996,0.041165656254937254
603,22,MLP,0.17,0.006700166339675586,0.039409724660112194
603,22,MLP,0.18,0.006895529801646869,0.03830572793970918
603,22,MLP,0.19,0.007046773768961429,0.03708828299453384
603,22,MLP,0.2,0.007247108879188696,0.03623554439594348
603,22,MLP,0.21,0.007350286816557248,0.034999195704110406
603,22,MLP,0.22,0.007410928793251515,0.033686039969325066
603,22,MLP,0.23,0.007492680711050828,0.03257687265674273
603,22,MLP,0.24,0.007616930231451988,0.03173720929771662
603,22,MLP,0.25,0.007845607449611028,0.03138242979844411
603,22,MLP,0.26,0.008081328322490056,0.03108203200957714
603,22,MLP,0.27,0.00820480976253748,0.030388184305694368
603,22,MLP,0.28,0.00837024016926686,0.029892324808169952
603,22,MLP,0.29,0.008538432568311691,0.029441549016582313
603,22,MLP,0.3,0.008605117499828339,0.028683724999427795
603,22,MLP,0.31,0.008821462877094746,0.028456331861595952
603,22,margin,0.01,0.0006559856981039048,0.06559856981039047
