base_seed,gate_seed,budget,layer,decisions,proxy_mlp_minus_margin,mlp_fraction_k2,margin_fraction_k2,mlp_recall_top5,margin_recall_top5,mlp_recall_top10,margin_recall_top10,recall_top10_difference,mlp_mean_selected_delta,margin_mean_selected_delta,layer_delta_mean,layer_delta_p90,layer_entropy_mean
601,22,1.2,3,25600,-0.002140577733516693,0.239609375,0.1834765625,0.6,0.55546875,0.5125,0.42734375,0.08515624999999993,0.045312124780307265,0.04750815061196028,0.013858530335128308,0.140625,1.3978178911970462
601,22,1.2,5,25600,0.0006793035194277763,0.209453125,0.2658984375,0.49296875,0.690625,0.431640625,0.5828125,-0.15117187499999996,0.030116144555222407,0.026277793036940444,0.009934597723186016,0.140625,1.5098324781563133
601,22,1.3,1,25600,-0.0003993607312440872,0.273359375,0.264765625,0.48125,0.56640625,0.428125,0.47265625,-0.04453125000000002,0.021885428029354996,0.021087428537854475,0.009283673837780953,0.125,1.5114949664426967
601,22,1.3,3,25600,-0.0010447965189814567,0.3481640625,0.2666015625,0.67421875,0.68828125,0.601953125,0.568359375,0.03359374999999998,0.03245300809555713,0.03846254509447258,0.013858530335128308,0.140625,1.3978178911970462
601,22,1.3,5,25600,0.00023368138819932939,0.3041796875,0.37140625,0.60390625,0.8171875,0.53984375,0.725,-0.18515625000000002,0.02587469768903827,0.021820415906861994,0.009934597723186016,0.140625,1.5098324781563133
601,33,1.1,1,25600,-0.0001953071728348732,0.088828125,0.0633984375,0.26171875,0.2078125,0.194921875,0.151171875,0.04374999999999998,0.03530150625720398,0.04638062945428779,0.009283673837780953,0.125,1.5114949664426967
601,33,1.1,3,25600,-0.0023726272955536844,0.118515625,0.0929296875,0.43984375,0.34453125,0.34609375,0.248828125,0.09726562499999997,0.07138189329626377,0.06550374337733919,0.013858530335128308,0.140625,1.3978178911970462
601,33,1.1,5,25600,0.0010341393947601318,0.0897265625,0.144921875,0.29921875,0.45390625,0.2375,0.365234375,-0.127734375,0.040900104607402316,0.03245862770594676,0.009934597723186016,0.140625,1.5098324781563133
601,33,1.2,1,25600,-0.0008203447237610816,0.21484375,0.15578125,0.43984375,0.40390625,0.36875,0.322265625,0.04648437500000002,0.0254560867656361,0.029841437382827192,0.009283673837780953,0.125,1.5114949664426967
601,33,1.2,3,25600,-0.0011522494256496429,0.214609375,0.1834765625,0.55703125,0.55546875,0.47578125,0.42734375,0.04843749999999997,0.04598532375700916,0.04750815061196028,0.013858530335128308,0.140625,1.3978178911970462
601,33,1.2,5,25600,0.0014521516487002372,0.178984375,0.2658984375,0.45,0.690625,0.381640625,0.5828125,-0.20117187499999994,0.03092489196764023,0.026277793036940444,0.009934597723186016,0.140625,1.5098324781563133
601,33,1.3,1,25600,-0.0011184469610452652,0.3327734375,0.264765625,0.56171875,0.56640625,0.490625,0.47265625,0.017968749999999978,0.02013884644117108,0.021087428537854475,0.009283673837780953,0.125,1.5114949664426967
601,33,1.3,3,25600,-0.0009208843857049942,0.3035546875,0.2666015625,0.65,0.68828125,0.572265625,0.568359375,0.00390625,0.03681398926056148,0.03846254509447258,0.013858530335128308,0.140625,1.3978178911970462
601,33,1.3,5,25600,0.0010015477240085601,0.2644140625,0.37140625,0.54453125,0.8171875,0.49296875,0.725,-0.23203124999999997,0.026862002172820906,0.021820415906861994,0.009934597723186016,0.140625,1.5098324781563133
602,11,1.1,1,25600,-0.0009168456122279167,0.1025,0.0632421875,0.33203125,0.25625,0.24296875,0.176953125,0.06601562500000002,0.05153808724589464,0.06903316445966205,0.010852279737591744,0.1337890625,1.477668886751635
602,11,1.1,3,25600,-0.0023764857277274133,0.125390625,0.0865625,0.4421875,0.34765625,0.36796875,0.26015625,0.10781250000000003,0.07917116052265108,0.08722986942594232,0.01681583806872368,0.14697265625,1.3466752936097328
602,11,1.1,5,25600,0.00017211902886629104,0.087109375,0.152890625,0.29765625,0.43046875,0.241796875,0.337109375,-0.0953125,0.03619944397109506,0.021750385077802515,0.005615872964262962,0.1328125,1.5596182162174954
